doc_id,title,category,section,paragraph_text,source_url
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Body,Budgeting University,
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Body,"1.2 Conducting, Recording and Reporting
Policies &
Financial Activity",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Procedures,"1 Fiscal
Environment",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Policy Statement,Unless otherwise stated in the Business and Financial Policies and,
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Procedures,"Funding
Language for Manual, all business and accounting of the system must conform to Generally
Board of
Accepted Accounting Principles (GAAP) and practices for educational institutions
Trustees Roll
established, in order of precedence, by:
Call Items and
Contracts
1. Statewide Accounting Management System (SAMS), Illinois State
1.1 System Comptroller
Annual
2. Officially established accounting principles of the Government Accounting
Financial",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Standards,"Board (GASB)
Report
3. GASB Technical Bulletins, applicable, American Institute of Certified Public
1.2 Conducting, Accountants (AICPA) Audit and Accounting Guides, and AICPA Statements
Recording and of Position
Reporting
4. AICPA Practice Bulletins, applicable to Colleges and Universities
Financial
Activity 5. GASB Implementation Guides (Q&As) published by the GASB staff, as well as
practices that are widely recognized and prevalent in the College and
1.3 Unit University environment
Financial
6. Financial Accounting and Reporting Manual, National Association of College
Health
and University Business Officers (NACUBO) and other accounting guidance
provided by NACUBO.
1.4 University
and System The Banner General Ledger and Operating Ledger systems constitute the official
financial record of the University of Illinois System. The system reports financial
https://www.busfin.uillinois.edu/bfpp/section-1-intro-business-financial-functions/how-accounting-is-conducted 1/4",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Standards,"Offices Deficit activity using the accrual accounting method.
Reporting
Reason for the Policy
1.5 Conducting
Business
Outside the Centralized accounting processes maintain the system’s chart of accounts and other
State of Illinois
methods for classifying financial data. These processes also ensure the integrity of the
data recorded in the financial record and permit comparison to formal spending
1.6",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Exceptions,"authority (budgets, appropriations, etc.) for fiscal control purposes. These centralized
to Business and",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Exceptions,"Financial
Policies,",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Procedures,",
and Processes",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Applicability,of the Policy,
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Applicability,"All business and accounting of the system, unless otherwise stated in the Business and
Comply with
Anti-Bribery Financial Policies and",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Procedures,"Manual.
Laws",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Procedures,"Employee Gift
Policy
Business and accounting of the system’s financial activities must be conducted,
Fraud recorded, and reported in a manner appropriate to the type of transaction. It also
Prevention and must adhere to additional system-wide standards.
Awareness
Basis of Accounting
Approval of
Financial
The system reports financial activity using the accrual accounting method. In accrual
Documents",
bfpp_1_2,"1.2 Conducting, Recording and Reporting Financial Activity",Fiscal Environment,Procedures,"received. Expenses are reported when materials or services are received, not
necessarily when money is paid out. Although some revenue and expense transactions
are recorded throughout the year, at year-end all must be recorded for inclusion in
annual reports. Recording revenue and expenses on the accrual basis requires that:
Revenue earned at a reporting date, but not yet received, is added and recorded
as a receivable.
Revenue received, but applicable to future periods, is subtracted and recorded
as unearned revenue.
Expenses incurred at a reporting date, but not yet paid, are added and a payable
is recorded.
Expenses paid, but applicable to future periods, are subtracted and recorded as a
prepaid expense.
Accruals and Deferrals
https://www.busfin.uillinois.edu/bfpp/section-1-intro-business-financial-functions/how-accounting-is-conducted 2/4",
