doc_id,title,category,section,paragraph_text,source_url
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,"To ensure compliance with GASB Statement 84, the term ""Agency Funds"" has now been
changed to ""Custodial Funds.""",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,If a unit needs to act as a custodian to hold non-University of Illinois System funds for,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,"an external entity (called the ""owner""), the unit may need to create a custodial fund.",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,The chart below provides examples:,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,Typical Status of Fund Owner,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,"Payroll/benefit withholding, sales tax
holding, financial aid, other clearing",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,"Governments, charities, health
care providers, pension funds",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,"Governments, not-for-profit and
for-profit corporations",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,"Not-for-profit and for-profit
corporations",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,Student organizations (includes some,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,staff and similar organizations),
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Body,the Need for a,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"on Behalf of
Owner",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,https://www.busfin.uillinois.edu/bfpp/section-2-agency-funds/policies-managing-agency-funds,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,A custodial fund is a fund held by the system in a purely custodial capacity as a fiscal,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,agent for the owner of the money.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Money Held for Individuals,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,The system will not hold personal funds of individuals in a fund type 9D custodial,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"fund, unless the individuals are students participating in a study abroad program as",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,outlined in 22 Self-Supporting/Revenue Generating Activities—Account for Study,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Abroad and Unique Instructional Activities.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,The system will hold funds on behalf of groups of individuals in fund type 9D custodial,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,funds only when they have formalized their relationship through articles of,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"association, bylaws, partnership agreements, or a similar document that establishes",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,the group's decision-making protocol and defines the purpose of the group.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"Groups of individuals within the system community (primarily faculty, staff, students,",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,or their immediate families) must become either a registered organization or a,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,registered student organization in order for the system to hold their money in a,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,custodial fund. The system will administer the organization's money as a fund type 9G,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,registered organization fund.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,External entity for whom the system creates and manages a custodial fund.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Role of the University of Illinois System,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,The system acts as a fiscal agent to hold non-system funds for the owner. The,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,custodial fund money is not owned by the system. Owner activities recorded in,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"custodial funds must be consistent with the system’s mission of instruction, research,",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"public service, and economic development. If used in collaboration with system",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"programs, custodial funds must record only the financial activity of the owner, not the",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"system. Unless separately contracted, the system performs only these basic",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,bookkeeping functions for owners:,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Deposits money in a system bank account,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Maintains a record of transactions and balances in the Banner general ledger,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"Processes cash receipts, disbursements, and journal entries as directed by the
owner",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Reports transactions and balances to the fund owner,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Issues an IRS Form 1099 for disbursements to external parties paid from the,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,custodial fund as required by the IRS. The system is not responsible for issuing,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,1099s to external parties from any other funds held by the owner.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Reports to the IRS disbursements paid from the custodial fund to non-resident,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,The system does not pay interest on money held in custodial funds. Additional,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,services may be provided by the system in its discretion and pursuant to an,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"agreement between the unit and the custodial fund owner. For additional information,",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,contact UAFR at uas@uillinois.edu.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Inactive or abandoned balances in custodial funds will be treated as unclaimed,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,property in compliance with State of Illinois requirements.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Role of a Unit,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"Before a custodial fund can be established, a system unit must agree to act as liaison",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"between the system and the owner. As liaison, the unit may not assume liability or",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,responsibility for the owner’s actions on the part of the system. For additional,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"information on the responsibilities of the unit, consult 2.4 Comply with Liaison",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Responsibilities for an Custodial Fund.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Role of the Owner,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,The owner is ultimately responsible for the management of the financial activity,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,accounted for by the custodial fund. Owners must:,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Perform regular reconciliation of Banner monthly financial reports.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"When asked, provide copies of the reconciliation to the unit.",
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Supply supporting documentation requested by the system to process,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,transactions.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,Maintain a positive cash balance.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,File required sales and other tax returns not prepared by the system.,
2_1_policies_for_managing_custodial_funds_business_finance,2.1 Policies for Managing Custodial Funds - Business & Finance,Custodial Funds,Responsibilities,"Maintain organizational documentation, such as income and sales tax exempt
status.",
