doc_id,title,category,section,paragraph_text,source_url
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,"All units must comply with the State of Illinois, University of Illinois System, and",
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,generally accepted accounting requirements for accounts receivable. Utilizing the,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,Banner Accounts Receivable (Banner AR) system for accounts receivable,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,management facilitates this compliance. Every unit must record its receivables in,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,"Banner AR. If this is not possible (e.g., due to HIPAA compliance), then the unit must",
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,request and receive approval to manage their accounts receivable outside of the,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,Banner AR system. Units that do not use Banner AR must properly manage their,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,accounts receivable (which includes timely reporting within Banner and properly,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,"handling collection efforts), and they must also compile and submit their accounts",
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,receivable data to UAFR on a quarterly basis to ensure compliance with UAFR’s,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,quarterly accounts receivable reporting requirements to the State of Illinois.,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,Reason for the Policy,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,The system is subject to and complies with state regulations including:,
5_1_managing_receivables_business_finance,5.1 Managing Receivables - Business & Finance,Receivables,Policy Statement,"Illinois State Collection Act of 1986, Statewide Accounting Management System",
